"image_name","comment_number","comment","category"
"COCO_val2014_000000391895.jpg","0","A man with a red helmet on a small moped on a dirt road. ","vehicle"
"COCO_val2014_000000522418.jpg","0","A woman wearing a net on her head cutting a cake. ","food"
"COCO_val2014_000000184613.jpg","0","A child holding a flowered umbrella and petting a yak.","accessory"
"COCO_val2014_000000318219.jpg","0","He is listening intently to the computer at school.","electronic"
"COCO_val2014_000000554625.jpg","0","A small child wearing headphones plays on the computer.","electronic"
"COCO_val2014_000000397133.jpg","0","A person standing by a stove in a kitchen.","person"
"COCO_val2014_000000574769.jpg","0","A girl smiles as she holds a cat and wears a brightly colored skirt.","kitchen"
"COCO_val2014_000000060623.jpg","0","A young girl is preparing to blow out her candle.","furniture"
"COCO_val2014_000000309022.jpg","0","Food cooks in a pot on a stove in a kitchen.","appliance"
"COCO_val2014_000000005802.jpg","0","A commercial kitchen with two men working to prepare several plates.","accessory"
"COCO_val2014_000000222564.jpg","0","Two cooks are cooking the food someone ordered at this restaurant","person"
"COCO_val2014_000000118113.jpg","0","this is a very dark picture of a room with a shelf","kitchen"
"COCO_val2014_000000193271.jpg","0","A kitchen with wooden cabinets and black appliances.","appliance"
"COCO_val2014_000000224736.jpg","0","A cluttered room with a sink, a toilet and in industrial mop bucket.","furniture"
"COCO_val2014_000000483108.jpg","0","A man riding a bike past a train traveling along tracks.","vehicle"
"COCO_val2014_000000403013.jpg","0","A galley kitchen with cabinets and appliances on both sides","appliance"
"COCO_val2014_000000374628.jpg","0","A beautiful, open kitchen and dining room area features an island in the center and wood cabinets and large windows.","indoor"
"COCO_val2014_000000328757.jpg","0","A woman forks vegetables out of a bowl into her mouth. ","kitchen"
"COCO_val2014_000000384213.jpg","0","A kitchen has the windows open and plaid curtains.","indoor"
"COCO_val2014_000000293802.jpg","0","A boy performing a kickflip on his skateboard on a city street.","accessory"
"COCO_val2014_000000086408.jpg","0","A refrigerator, oven and microwave sitting in a kitchen.","appliance"
"COCO_val2014_000000037777.jpg","0","The dining table near the kitchen has a bowl of fruit on it.","food"
"COCO_val2014_000000372938.jpg","0","A truck with a number of people and things in the back","vehicle"
"COCO_val2014_000000386164.jpg","0","A selection of wooden kitchen tools on a counter.","kitchen"
