"image_name","comment_number","comment","category"
"cropped_frame_009060.PNG","0","a marine dolphin navigates in a remote oceanic area.","dolphin"
"cropped_frame_009356.PNG","0","an aquatic dolphin cruises in the vast ocean.","dolphin"
"cropped_frame_008643.PNG","0","a marine dolphin swims in the deep sea.","dolphin"
"cropped_frame_008703.PNG","0","an aquatic dolphin floats in a remote oceanic area.","dolphin"
"cropped_frame_008586.PNG","0","an ocean dolphin is captured swimming within open sea.","dolphin"
"cropped_frame_008856.PNG","0","a marine dolphin cruises in still marine waters.","dolphin"
"cropped_frame_008648.PNG","0","a juvenile dolphin swims through the waves in the deep sea.","dolphin"
"cropped_frame_008740.PNG","0","an ocean dolphin cruises in the ocean.","dolphin"
"cropped_frame_009337.PNG","0","a spotted dolphin drifts swimming in the open ocean.","dolphin"
"cropped_frame_008973.PNG","0","a playful dolphin floats surrounded by currents.","dolphin"
"cropped_frame_008721.PNG","0","a playful dolphin swims through the waves in the ocean.","dolphin"
"cropped_frame_008644.PNG","0","a juvenile dolphin navigates swimming in the open ocean.","dolphin"
"cropped_frame_008588.PNG","0","a spotted dolphin cruises in the ocean.","dolphin"
"cropped_frame_008904.PNG","0","a solitary dolphin swims in a remote open sea.","dolphin"
"cropped_frame_008748.PNG","0","a marine dolphin floats in a remote oceanic area.","dolphin"
"cropped_frame_008698.PNG","0","a juvenile dolphin swims through the waves in a remote oceanic area.","dolphin"
"cropped_frame_009013.PNG","0","an ocean dolphin is captured swimming in still marine waters.","dolphin"
"cropped_frame_009293.PNG","0","a marine dolphin is captured swimming in a remote open sea.","dolphin"
"cropped_frame_009277.PNG","0","an aquatic dolphin swims in a remote oceanic area.","dolphin"
"cropped_frame_008598.PNG","0","a dolphin moves in the deep sea.","dolphin"
"cropped_frame_009053.PNG","0","an ocean dolphin cruises in the sea.","dolphin"
"cropped_frame_009291.PNG","0","a marine dolphin moves in a remote oceanic area.","dolphin"
"cropped_frame_008707.PNG","0","a swimming dolphin swims through the waves in the water.","dolphin"
"cropped_frame_008697.PNG","0","an ocean dolphin swims through the waves in the water.","dolphin"
"cropped_frame_009016.PNG","0","a spotted dolphin navigates in a remote open sea.","dolphin"
"cropped_frame_009285.PNG","0","a solitary dolphin moves in the water.","dolphin"
"cropped_frame_008701.PNG","0","a solitary dolphin navigates surrounded by currents.","dolphin"
"cropped_frame_008984.PNG","0","a spotted dolphin is captured swimming in the ocean.","dolphin"
"cropped_frame_008962.PNG","0","an aquatic dolphin cruises in the deep sea.","dolphin"
